🇨🇳 央视,#genre#
东南卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/dongnanHD/__op/default/__f/index.m3u8
东方卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f/index.m3u8
北京卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/beijingHD/__op/default/__f/index.m3u8
天津卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f/index.m3u8
安徽卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/anhuiSD/__op/default/__f/index.m3u8
河南卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f/index.m3u8
河北卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f/index.m3u8
广东卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/guangdongHD/__op/default/__f/index.m3u8
广西卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/guangxiHD/__op/default/__f/index.m3u8
海南卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/hainanSD/__op/default/__f/index.m3u8
三沙卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/sanshaSD/__op/default/__f/index.m3u8
湖北卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/hubeiSD/__op/default/__f/index.m3u8
江西卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/jiangxiHD/__op/default/__f/index.m3u8
云南卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/yunnanSD/__op/default/__f/index.m3u8
贵州卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/guizhouHD/__op/default/__f/index.m3u8
四川卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/sichuanHD/__op/default/__f/index.m3u8
山西卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/shanxiSD/__op/default/__f/index.m3u8
青海卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f/index.m3u8
西藏卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/xizangSD/__op/default/__f/index.m3u8
宁夏卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f/index.m3u8
辽宁卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f/index.m3u8
吉林卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f/index.m3u8
黑龙江卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f/index.m3u8
新疆卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/xinjiangSD/__op/default/__f/index.m3u8

湖南卫视,http://222.175.159.226:808/hls/202341/index.m3u8
浙江卫视,http://222.175.159.226:808/hls/202342/index.m3u8
东方卫视,http://222.175.159.226:808/hls/202343/index.m3u8
江苏卫视,http://222.175.159.226:808/hls/202344/index.m3u8
北京卫视,http://222.175.159.226:808/hls/202345/index.m3u8
安徽卫视,http://222.175.159.226:808/hls/202346/index.m3u8
天津卫视,http://222.175.159.226:808/hls/202347/index.m3u8
辽宁卫视,http://222.175.159.226:808/hls/202348/index.m3u8
深圳卫视,http://222.175.159.226:808/hls/202349/index.m3u8
东南卫视,http://222.175.159.226:808/hls/202350/index.m3u8
湖北卫视,http://222.175.159.226:808/hls/202351/index.m3u8
广东卫视,http://222.175.159.226:808/hls/202352/index.m3u8
黑龙江卫视,http://222.175.159.226:808/hls/202353/index.m3u8
重庆卫视,http://222.175.159.226:808/hls/202354/index.m3u8
贵州卫视,http://222.175.159.226:808/hls/202355/index.m3u8
江西卫视,http://222.175.159.226:808/hls/202356/index.m3u8
河北卫视,http://222.175.159.226:808/hls/202357/index.m3u8
海南卫视,http://222.175.159.226:808/hls/202358/index.m3u8
四川卫视,http://222.175.159.226:808/hls/202359/index.m3u8
云南卫视,http://222.175.159.226:808/hls/202360/index.m3u8
河南卫视,http://222.175.159.226:808/hls/202361/index.m3u8
广西卫视,http://222.175.159.226:808/hls/202362/index.m3u8
吉林卫视,http://222.175.159.226:808/hls/202363/index.m3u8
山西卫视,http://222.175.159.226:808/hls/202364/index.m3u8
陕西卫视,http://222.175.159.226:808/hls/202365/index.m3u8
内蒙古卫视,http://222.175.159.226:808/hls/202366/index.m3u8
宁夏卫视,http://222.175.159.226:808/hls/202367/index.m3u8
青海卫视,http://222.175.159.226:808/hls/202317/index.m3u8
新疆卫视,http://222.175.159.226:808/hls/202368/index.m3u8
甘肃卫视,http://222.175.159.226:808/hls/202369/index.m3u8
青海卫视,http://222.175.159.226:808/hls/202370/index.m3u8
西藏卫视,http://222.175.159.226:808/hls/202371/index.m3u8
兵团卫视,http://222.175.159.226:808/hls/202376/index.m3u8
农林卫视,http://222.175.159.226:808/hls/202377/index.m3u8
三沙卫视,http://222.175.159.226:808/hls/202378/index.m3u8

浙江卫视,http://221.2.36.34:8888/newlive/live/hls/24/live.m3u8
北京卫视,http://221.2.36.34:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://221.2.36.34:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://221.2.36.34:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://221.2.36.34:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://221.2.36.34:8888/newlive/live/hls/23/live.m3u8
安徽卫视,http://221.2.36.34:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://221.2.36.34:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://221.2.36.34:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://221.2.36.34:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://221.2.36.34:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://221.2.36.34:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://221.2.36.34:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://221.2.36.34:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://221.2.36.34:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://221.2.36.34:8888/newlive/live/hls/34/live.m3u8
吉林卫视,http://221.2.36.34:8888/newlive/live/hls/35/live.m3u8
天津卫视,http://221.2.36.34:8888/newlive/live/hls/42/live.m3u8
辽宁卫视,http://221.2.36.34:8888/newlive/live/hls/43/live.m3u8
东南卫视,http://221.2.36.34:8888/newlive/live/hls/44/live.m3u8
黑龙江卫视,http://221.2.36.34:8888/newlive/live/hls/45/live.m3u8
河北卫视,http://221.2.36.34:8888/newlive/live/hls/46/live.m3u8
海南卫视,http://221.2.36.34:8888/newlive/live/hls/47/live.m3u8
江西卫视,http://221.2.36.34:8888/newlive/live/hls/48/live.m3u8
